seed,rf_auc,synthtree_auc,synthtree_num_leaves
0,0.7843853820598007,0.8624584717607974,2
1,0.8392857142857143,0.8538359788359788,3
2,0.8154882154882156,0.8417508417508417,2
3,0.8722826086956522,0.8960597826086957,2
4,0.8458251150558843,0.9132149901380671,2
