leaf_id,depth,leaf_weight,feature,path_gain,coef_abs,leaf_score,weighted_contribution,seed
0,1,0.3,AGE,0.1746987951807229,0.28374905849085486,0.5066059544779706,0.15198178634339118,0
0,1,0.3,AJCC_NODES_PATHOLOGIC_PN,0.0,0.3292981276080066,0.007666381175779525,0.0022999143527338574,0
0,1,0.3,AJCC_STAGING_EDITION,0.0,0.9111664861445531,0.021212843352984602,0.006363853005895381,0
0,1,0.3,DAYS_TO_COLLECTION,0.0,1.3465750225398263,0.031349578206114316,0.009404873461834294,0
0,1,0.3,FORM_COMPLETION_DATE,0.0,0.4404424891274743,0.010253930176243882,0.0030761790528731647,0
0,1,0.3,FRACTION_GENOME_ALTERED,0.0,0.08853402407489235,0.0020611583203161317,0.0006183474960948395,0
0,1,0.3,ICD_10,0.0,0.250463818531127,0.005831041668984589,0.0017493125006953767,0
0,1,0.3,ICD_O_3_HISTOLOGY,0.0,0.05900213837063141,0.0013736272544914083,0.00041208817634742247,0
0,1,0.3,ICD_O_3_SITE,0.0,0.6125971938104859,0.014261859394945075,0.004278557818483522,0
0,1,0.3,INITIAL_PATHOLOGIC_DX_YEAR,0.0,1.4641759152112859,0.034087441541020884,0.010226232462306264,0
0,1,0.3,OS_MONTHS,0.0,3.2066569301905345,0.07465409689805338,0.022396229069416015,0
0,1,0.3,SAMPLE_INITIAL_WEIGHT,0.0,0.0,0.0,0.0,0
0,1,0.3,SUBMITTED_TUMOR_DX_DAYS_TO,0.0,0.2668471828289851,0.006212462348662891,0.0018637387045988673,0
0,1,0.3,TISSUE_SOURCE_SITE,0.0,0.046617371242199473,0.0010852978118993542,0.0003255893435698063,0
0,1,0.3,TUMOR_SITE,0.0,0.05120344371340129,0.0011920660462630633,0.000357619813878919,0
0,1,0.3,ETHNICITY,0.0,0.5145539428180628,0.011979317009173355,0.003593795102752006,0
0,1,0.3,HISTORY_NEOADJUVANT_TRTYN,0.0,0.6485164290668914,0.015098094180178661,0.004529428254053598,0
0,1,0.3,HISTORY_OTHER_MALIGNANCY,0.0,0.271022818394857,0.006309675212069215,0.0018929025636207646,0
0,1,0.3,NEW_TUMOR_EVENT_AFTER_INITIAL_TREATMENT,0.0,1.252782009314617,0.029165985495665205,0.00874979564869956,0
0,1,0.3,OCT_EMBEDDED,0.0,0.034178049084993556,0.0007956982750960908,0.00023870948252882723,0
0,1,0.3,PRIMARY_MELANOMA_KNOWN_DX,0.0,0.0897870326999962,0.002090329581648114,0.0006270988744944342,0
0,1,0.3,PROSPECTIVE_COLLECTION,0.0,0.7459105749466635,0.017365524766642933,0.00520965742999288,0
0,1,0.3,RACE,0.0,1.0107524182929584,0.023531300858773432,0.007059390257632029,0
0,1,0.3,RADIATION_TREATMENT_ADJUVANT,0.0,0.6249540048891291,0.01454953799346642,0.004364861398039926,0
0,1,0.3,RETROSPECTIVE_COLLECTION,0.0,0.4050097573844191,0.009429021666697898,0.0028287065000093693,0
0,1,0.3,SAMPLE_COUNT,0.0,3.42063725922785,0.07963576739352479,0.023890730218057436,0
0,1,0.3,SAMPLE_TYPE,0.0,1.3907515584647467,0.03237805099424117,0.009713415298272349,0
0,1,0.3,SAMPLE_TYPE_ID,0.0,1.6220345456014003,0.03776254422456158,0.011328763267368473,0
0,1,0.3,SEX,0.0,0.08854499243963124,0.002061413674531396,0.0006184241023594187,0
0,1,0.3,VIAL_NUMBER,0.0,0.0,0.0,0.0,0
1,1,0.7,AGE,0.1746987951807229,0.5176215217354185,0.511304833585569,0.35791338350989826,0
1,1,0.7,AJCC_NODES_PATHOLOGIC_PN,0.0,0.15324087108964085,0.0033467745706708043,0.002342742199469563,0
1,1,0.7,AJCC_STAGING_EDITION,0.0,0.1559785557769287,0.003406565496086323,0.002384595847260426,0
1,1,0.7,DAYS_TO_COLLECTION,0.0,1.0933394643981798,0.023878490709036606,0.016714943496325622,0
