dataset,model,mean,sd
SKCM,CART,0.7676257754359664,0.05139426537207646
SKCM,GB,0.8680737833977314,0.0475419437336317
SKCM,LR,0.9041226636992562,0.023022896695972673
SKCM,LRF,0.8451473387673026,0.04934841901090487
SKCM,LRT,0.6706590367839104,0.021812164837969866
SKCM,MLP,0.8629185661345184,0.0283038635794391
SKCM,RF,0.8329275057761729,0.03050897278892924
